REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
21-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
22-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
23-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
24-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
25-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
26-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
27-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
28-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
29-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
30-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
31-05-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
01-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
03-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
04-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
05-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
06-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
07-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
08-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
09-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
10-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
11-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
12-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
13-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
14-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
15-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
16-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
17-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
18-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
19-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
20-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
21-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
22-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
23-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
24-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
25-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
26-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
27-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
28-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
29-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
30-06-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
01-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
03-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
04-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
05-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
06-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
07-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
08-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
09-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
10-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
11-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
12-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
13-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
14-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
